-348.99,314.01,488.02,,p9
-348.97,314.04,488.08,,
-348.92,314.18,488.33,,
-348.77,314.53,488.97,,
-348.46,315.26,490.30,,
-347.90,316.54,492.68,,
-347.02,318.52,496.34,,
-345.77,321.19,501.37,,
-344.11,324.56,507.79,,
-341.97,328.58,515.61,,
-339.31,333.23,524.86,,
-336.03,338.46,535.54,,
-332.06,344.21,547.70,,
-327.30,350.41,561.33,,
-321.66,356.96,576.43,,
-315.07,363.73,592.90,,
-307.52,370.52,610.54,,
-299.07,377.14,629.05,,
-289.83,383.37,648.05,,
-279.97,389.07,667.19,,
-269.56,394.15,686.31,,
-258.66,398.59,705.38,,
-247.29,402.38,724.35,,
-235.48,405.49,743.19,,
-223.28,407.92,761.88,,
-210.73,409.64,780.39,,
-197.87,410.67,798.67,,
-184.73,410.99,816.71,,
-171.38,410.60,834.48,,
-157.84,409.51,851.96,,
-144.17,407.72,869.11,,
-130.41,405.26,885.91,,
-116.60,402.12,902.36,,
-102.80,398.33,918.42,,
-89.04,393.90,934.08,,
-75.36,388.87,949.34,,
-61.82,383.24,964.16,,
-48.44,377.06,978.55,,
-35.27,370.35,992.50,,
-22.36,363.13,1006.00,,
-9.72,355.45,1019.04,,
2.59,347.34,1031.63,,
14.55,338.82,1043.77,,
26.13,329.94,1055.45,,
37.29,320.73,1066.68,,
48.02,311.23,1077.46,,
58.28,301.47,1087.81,,
68.05,291.49,1097.72,,
77.32,281.33,1107.21,,
86.06,271.02,1116.29,,
94.26,260.59,1124.97,,
101.90,250.09,1133.27,,
108.98,239.53,1141.18,,
115.47,228.97,1148.74,,
121.38,218.42,1155.94,,
126.69,207.91,1162.81,,
131.41,197.48,1169.36,,
135.52,187.14,1175.61,,
139.03,176.93,1181.55,,
141.94,166.87,1187.22,,
144.25,156.98,1192.63,,
145.96,147.28,1197.77,,
147.08,137.79,1202.68,,
147.62,128.53,1207.35,,
147.57,119.51,1211.80,,
146.96,110.75,1216.04,,
145.79,102.27,1220.08,,
144.08,94.07,1223.92,,
141.83,86.17,1227.58,,
139.07,78.58,1231.05,,
135.79,71.30,1234.35,,
132.04,64.35,1237.47,,
127.81,57.73,1240.43,,
123.13,51.45,1243.22,,
118.02,45.51,1245.85,,
112.50,39.93,1248.32,,
106.59,34.70,1250.63,,
100.31,29.82,1252.78,,
93.68,25.31,1254.78,,
86.74,21.16,1256.61,,
79.50,17.38,1258.28,,
71.99,13.96,1259.79,,
64.25,10.93,1261.14,,
56.44,8.30,1262.30,,
48.78,6.12,1263.27,,
41.47,4.38,1264.05,,
34.66,3.04,1264.64,,
28.41,2.03,1265.09,,
22.75,1.30,1265.42,,
17.71,0.78,1265.65,,
13.30,0.44,1265.80,,
9.53,0.23,1265.90,,
6.41,0.10,1265.95,,
3.93,0.04,1265.98,,
2.11,0.01,1266.00,,
0.93,0.00,1266.00,,
0.33,0.00,1266.00,,
0.08,0.00,1266.00,,
0.01,0.00,1266.00,,
0.00,0.00,1266.00,,
0.00,0.00,1266.00,,h
0.00,0.00,1266.00,,h
0.00,0.00,1266.00,,
0.03,0.00,1266.00,,
0.18,0.00,1266.00,,
0.61,0.00,1266.00,,
1.52,0.00,1266.00,,
3.08,0.02,1265.99,,
5.33,0.05,1265.98,,
8.29,0.13,1265.95,,
11.93,0.27,1265.89,,
16.27,0.50,1265.80,,
21.29,0.86,1265.65,,
26.99,1.38,1265.44,,
33.35,2.11,1265.14,,
40.34,3.10,1264.74,,
47.94,4.40,1264.21,,
56.03,6.06,1263.54,,
64.46,8.09,1262.72,,
72.99,10.49,1261.76,,
81.42,13.21,1260.67,,
89.64,16.23,1259.46,,
97.63,19.55,1258.15,,
105.35,23.16,1256.74,,
112.80,27.05,1255.22,,
119.96,31.22,1253.61,,
126.79,35.65,1251.91,,
133.29,40.34,1250.12,,
139.43,45.28,1248.26,,
145.19,50.46,1246.32,,
150.57,55.87,1244.31,,
155.53,61.50,1242.24,,
160.07,67.34,1240.11,,
164.18,73.39,1237.92,,
167.83,79.62,1235.69,,
171.01,86.03,1233.41,,
173.71,92.61,1231.09,,
175.93,99.34,1228.73,,
177.63,106.22,1226.33,,
178.83,113.23,1223.90,,
179.50,120.35,1221.44,,
179.64,127.58,1218.95,,
179.24,134.90,1216.43,,
178.29,142.29,1213.88,,
176.79,149.75,1211.30,,
174.73,157.26,1208.68,,
172.10,164.80,1206.03,,
168.91,172.36,1203.35,,
165.14,179.92,1200.62,,
160.81,187.48,1197.85,,
155.89,195.00,1195.02,,
150.41,202.48,1192.15,,
144.35,209.90,1189.20,,
137.72,217.24,1186.19,,
130.53,224.48,1183.11,,
122.77,231.62,1179.93,,
114.45,238.62,1176.67,,
105.58,245.47,1173.29,,
96.17,252.15,1169.81,,
86.22,258.65,1166.20,,
75.75,264.95,1162.46,,
64.77,271.02,1158.58,,
53.28,276.85,1154.54,,
41.30,282.42,1150.33,,
28.86,287.71,1145.95,,
15.95,292.71,1141.38,,
2.62,297.39,1136.60,,
-11.14,301.73,1131.62,,
-25.30,305.73,1126.41,,
-39.83,309.36,1120.98,,
-54.72,312.60,1115.29,,
-69.93,315.44,1109.36,,
-85.45,317.87,1103.17,,
-101.24,319.87,1096.70,,
-117.28,321.42,1089.96,,
-133.55,322.52,1082.93,,
-150.00,323.15,1075.61,,
-166.61,323.31,1068.00,,
-183.36,322.98,1060.08,,
-200.20,322.16,1051.85,,
-217.10,320.84,1043.31,,
-234.03,319.01,1034.47,,
-250.97,316.68,1025.31,,
-267.86,313.83,1015.84,,
-284.69,310.48,1006.06,,
-301.42,306.62,995.97,,
-318.00,302.26,985.58,,
-334.42,297.40,974.89,,
-350.64,292.04,963.90,,
-366.62,286.20,952.63,,
-382.33,279.88,941.09,,
-397.68,273.14,929.33,,
-412.44,266.07,917.54,,
-426.33,258.88,905.96,,
-439.14,251.74,894.84,,
-450.76,244.82,884.35,,
-461.12,238.27,874.63,,
-470.25,232.17,865.78,,
-478.20,226.60,857.83,,
-485.03,221.62,850.82,,
-490.78,217.27,844.76,,
-495.50,213.58,839.67,,
-499.24,210.58,835.57,,
-502.03,208.31,832.47,,
-503.93,206.74,830.34,,
-505.06,205.79,829.07,,
-505.65,205.29,828.39,,
-505.92,205.07,828.09,,
-506.00,205.00,827.99,,
-506.02,204.98,827.97,,
-506.02,204.98,827.97,,
-506.02,204.98,827.97,,
-506.02,204.98,827.97,,
-506.02,204.98,827.97,,
-506.02,204.98,827.97,,
-506.00,204.98,827.94,,p1
-505.96,204.99,827.87,,
-505.87,205.00,827.70,,
-505.70,205.01,827.39,,
-505.41,205.03,826.86,,
-504.97,205.07,826.07,,
-504.37,205.12,824.97,,
-503.58,205.19,823.54,,
-502.60,205.27,821.76,,
-501.42,205.38,819.61,,
-500.02,205.50,817.08,,
-498.40,205.66,814.15,,
-496.54,205.84,810.80,,
-494.44,206.05,807.02,,
-492.09,206.30,802.82,,
-489.52,206.59,798.21,,
-486.72,206.92,793.24,,
-483.73,207.29,787.95,,
-480.56,207.70,782.36,,
-477.22,208.17,776.51,,
-473.72,208.68,770.40,,
-470.05,209.26,764.04,,
-466.20,209.90,757.41,,
-462.16,210.62,750.51,,
-457.92,211.42,743.33,,
-453.48,212.32,735.89,,
-448.84,213.33,728.19,,
-443.97,214.46,720.20,,
-438.85,215.75,711.91,,
-433.45,217.23,703.29,,
-427.77,218.90,694.40,,
-421.86,220.81,685.33,,
-415.79,222.95,676.22,,
